UCREA,,,,,
Nhóm tiêu chí,,Điểm,,,
Thái độ,Thái độ đi học,"1 - Học sinh đến muộn thường xuyên không báo trước, nghỉ học quá số buổi quy định","2 - Học sinh thi thoảng đến muộn, nghỉ học có xin phép","3 - Học sinh đến đúng giờ, nghỉ học có phép theo quy định ",4 - Học sinh đi học đúng giờ và đầy đủ
,Thái độ trong giờ học,"1- Cần đồng hành sát sao: Học sinh còn ngần ngại, từ chối tham gia các hoạt động nhóm. Cần cô giáo nhắc nhở và khích lệ nhiều nhiều trong các hoạt động của lớp",2 - Đang hoà nhập: học sinh tham gia hoạt động nhóm nhưng còn thụ động; đôi lúc còn muốn làm theo ý mình hoặc giữ giáo cụ riêng; cần cô nhắc nhở để phối hợp với bạn.,3 - Hợp tác tốt: Học sinh vui vẻ tham gia vào nhóm được phân công; tôn trọng lượt nói của bạn; sẵn sàng chia sẻ đồ dùng học tập; cùng nhóm hoàn thành nhiệm vụ mà không tranh cãi.,4 - Thủ lĩnh đồng đội: Chủ động lắng nghe ý kiến của bạn; biết phân công công việc khi làm bài nhóm; kiên nhẫn giải thích cho bạn chưa hiểu; chủ động chia sẻ giáo cụ và khen ngợi bạn.
Kiến thức,Kiến thức bài cũ,1 - Cần ôn tập lại: Học sinh Quên kiến thức buổi trước; chưa làm bài tập về nhà; gặp khó khăn ngay cả khi cô đã đưa ra gợi ý trực quan.,2 - Ghi nhớ cơ bản: Học sinh nhớ được khái niệm/hình ảnh bài cũ nhưng thao tác còn chậm; cần cô đặt câu hỏi dẫn dắt mới nhớ ra quy luật/cách giải; bài tập về nhà làm chưa hoàn chỉnh.,3 - Thành thạo: Học sinh nhớ và làm đúng kiến thức bài cũ; biết cách giải nhưng cần cô gợi ý nhẹ nếu muốn giải thích chi tiết; làm bài tập về nhà đầy đủ.,4 - Xuất sắc: Học sinh làm đúng/hoàn thành trọn vẹn bài tập; tự tin lên bảng hoặc giải thích cho cô/bạn hiểu tại sao chọn cách giải đó; ứng dụng linh hoạt vào dạng bài biến tấu.
,Kiến thức bài mới,1 - Cần rèn luyện: Học sinh gặp khó khăn trong việc tiếp thu khái niệm mới; chưa tự làm được bài tập thực hành nếu không có giáo viên cầm tay chỉ việc hoặc hướng dẫn trực tiếp từng bước.,2 - Hiểu và thao tác: Học sinh hiểu được kiến thức cơ bản khi cô giảng; giải được bài tập mẫu nhưng cần 1–2 lời gợi ý/dẫn dắt của giáo viên khi gặp bài biến tấu nhẹ; thao tác còn hơi chậm.,3 - Làm chủ bài mới: Học sinh hiểu rõ bản chất khái niệm mới; tự lực hoàn thành tốt các bài tập thực hành chuẩn mà không cần sự trợ giúp của giáo viên; thao tác giáo cụ/sơ đồ chuẩn xác.,4 - Sáng tạo mở rộng: Học sinh nắm bắt khái niệm mới cực nhanh; tự giải được các bài toán biến tấu/nâng cao; biết vận dụng kiến thức mới để tìm ra nhiều hơn 1 cách giải hoặc tự đặt ra bài toán tương tự.
Kỹ năng,Tư duy cơ bản,"1 - Cần rèn luyện : Quan sát: Thao tác vội vàng, thường nhìn lướt qua nên dễ dẫn đến hiểu sai yêu cầu đề bài.

Ghi nhớ: Quên ngay thao tác/dữ kiện vừa hướng dẫn.

Chú ý & Tập trung: Sức chú ý rất ngắn (dưới 5 phút), liên tục rời chỗ ngồi hoặc làm việc riêng, gặp khó khăn khi ngồi yên làm bài.","2 - Đang phát triển: Quan sát: Nhìn nhận được các đặc điểm tổng quan nhưng hay bỏ sót các chi tiết nhỏ.

Ghi nhớ: Nhớ được 1–2 yếu tố đầu hoặc cuối; cần cô nhắc lại hoặc xem lại mẫu để hoàn thành bài.

Chú ý & Tập trung: Thời gian tập trung ngắn (10 phút), dễ bị xao nhãng bởi tiếng động hay bạn xung quanh; cần nhắc nhở 2–3 lần/buổi.","3 - Nhận thức tốt: Quan sát: Nhận diện tốt các đặc điểm cốt lõi, hình dáng, màu sắc, vị trí của bài toán.

Ghi nhớ: Tái hiện đúng chuỗi thông tin/dữ kiện từ 3–4 yếu tố mà không cần xem lại mẫu.

Chú ý & Tập trung: Mối chú ý duy trì ổn định trong 15–20 phút; tự điều chỉnh lại sự tập trung khi được giáo viên nhắc nhẹ.","4 - Nhạy bén: Quan sát: Phát hiện ngay các chi tiết ẩn, điểm khác biệt nhỏ hoặc quy luật tinh tế mà đa số các bạn bỏ qua.

Ghi nhớ: Nhớ chính xác chuỗi thông tin/thao tác dài (từ 4–6 bước/yếu tố trở lên) chỉ sau 1–2 lần quan sát.

Chú ý & Tập trung: Duy trì sự tập trung liên tục trong 20–30 phút; chủ động phớt lờ các tiếng động hoặc xao nhãng xung quanh."
,Tư duy logic,1 - Đang nhận biết: Học sinh nhận biết được các quy luật đơn giản; đôi khi suy luận theo cảm tính hơn là bản chất toán học.,"2 - Logic cơ bản: Cần cô đặt các câu hỏi gợi mở từng bước, biết kết nối được 2–3 dữ kiện lại với nhau để tìm ra câu trả lời.",3 - Linh Hoạt: Học sinh áp dụng thành thạo phương pháp vừa học vào các bài tập thực hành tương tự.,"4 - Xuất sắc: Nhận diện và lập luận chặt chẽ các mối quan hệ phức tạp, giải thích được ""Tại sao đáp án này đúng và các đáp án khác sai"". Tự tin giải quyết các vấn đề mới chưa gặp trước đó"
,Tư duy toán học,"1 - Cần rèn luyện: Học sinh giải quyết được các dạng toán cơ bản, tư duy không sâu",2 - Khá: Học sinh vận dụng kiến thức để giải quyết các bài toán lồng ghép 2-3 yêu cầu tư duy,"3 - Tốt: Học sinh giải quyết được các bài toán lồng ghép nhiều dữ liệu, vận dụng nhuần nhuyễn các kiến thức toán số, hình, logic...","4 - Vượt trội:  Học sinh giải quyết các bài toán với yêu cầu kiến thức vượt trội, giải quyết các bài toán 1 cách linh hoạt và tối ưu"
,Tư duy sáng tạo,"1 - Trung bình: Học sinh Bị phụ thuộc hoàn toàn vào bài tập mẫu; ngại thay đổi phương pháp, dễ lúng túng hoặc lo lắng khi gặp đề bài có hình thức thể hiện lạ/mới.","2 - Khá: Học sinh giải được vấn đề theo cách quen thuộc; khi được cô gợi ý ""Con còn cách nào khác không?"", trẻ hào hứng thử nghiệm và tìm ra góc nhìn mới.","3 - Linh hoạt: Khi cách làm ban đầu bị khó khăn, học sinh không bỏ cuộc mà biết chuyển hướng tư duy (thử dùng giáo cụ, vẽ sơ đồ, hoặc thử lại từ đáp án); biết liên tưởng và áp dụng kiến thức toán học vào các tình huống thực tế độc đáo.","4 - Đột phá: Học sinh luôn chủ động tìm ra từ 2 đến 3 cách giải khác nhau cho cùng một bài toán; biết tự đặt ra câu hỏi ""Nếu thay đổi dữ kiện này thì sao?""; tự sáng tạo ra bài toán tương tự để đố cô và các bạn."
Nhận xét tổng quan,Điểm mạnh,,,,
,Điểm yếu,,,,
,Đề xuất từ giáo viên,,,,
BRIGHT IG,,,,,
Thái độ,Thái độ đi học,"1 - Học sinh đến muộn thường xuyên không báo trước, nghỉ học quá số buổi quy định","2 - Học sinh thi thoảng đến muộn, nghỉ học có xin phép","3 - Học sinh đến đúng giờ, nghỉ học có phép theo quy định ",4 - Học sinh đi học đúng giờ và đầy đủ
,Thái độ trong giờ học,"1- Cần đồng hành sát sao: Học sinh còn ngần ngại, từ chối tham gia các hoạt động nhóm. Cần cô giáo nhắc nhở và khích lệ nhiều nhiều trong các hoạt động của lớp",2 - Đang hoà nhập: học sinh tham gia hoạt động nhóm nhưng còn thụ động; đôi lúc còn muốn làm theo ý mình hoặc giữ giáo cụ riêng; cần cô nhắc nhở để phối hợp với bạn.,3 - Hợp tác tốt: Học sinh vui vẻ tham gia vào nhóm được phân công; tôn trọng lượt nói của bạn; sẵn sàng chia sẻ đồ dùng học tập; cùng nhóm hoàn thành nhiệm vụ mà không tranh cãi.,4 - Thủ lĩnh đồng đội: Chủ động lắng nghe ý kiến của bạn; biết phân công công việc khi làm bài nhóm; kiên nhẫn giải thích cho bạn chưa hiểu; chủ động chia sẻ giáo cụ và khen ngợi bạn.
